parentEdu,parentEduCode,Y
"associate's degree",4,55.6667
"high school",2,86.3333
"some high school",1,80.6667
"associate's degree",4,85.6667
"high school",2,38.3333
"high school",2,71.0000
"some high school",1,57.6667
"high school",2,66.0000
"associate's degree",4,81.6667
"some high school",1,60.6667
"some high school",1,80.3333
"associate's degree",4,63.6667
"master's degree",6,51.6667
"some college",3,71.6667
"high school",2,53.6667
"some high school",1,68.0000
"some college",3,92.3333
"some college",3,68.6667
"associate's degree",4,43.6667
"bachelor's degree",5,78.6667
"some high school",1,85.6667
"bachelor's degree",5,83.0000
"associate's degree",4,77.3333
"bachelor's degree",5,65.3333
"some high school",1,66.0000
"some college",3,52.3333
"associate's degree",4,81.3333
"high school",2,69.0000
"bachelor's degree",5,82.0000
"high school",2,54.3333
"some college",3,51.0000
"some high school",1,72.6667
"associate's degree",4,77.3333
"associate's degree",4,79.6667
"high school",2,65.3333
"high school",2,63.6667
"high school",2,60.3333
"some high school",1,48.3333
"some college",3,79.0000
"some high school",1,66.6667
"master's degree",6,77.3333
"high school",2,52.6667
"some college",3,68.3333
"associate's degree",4,68.3333
"associate's degree",4,77.3333
"some college",3,74.3333
"master's degree",6,75.6667
"some high school",1,73.3333
"some college",3,78.6667
"some high school",1,48.3333
"high school",2,94.0000
"high school",2,72.3333
"some high school",1,47.3333
"bachelor's degree",5,73.0000
"high school",2,72.6667
"associate's degree",4,91.6667
"some college",3,72.3333
"bachelor's degree",5,64.3333
"some college",3,49.6667
"associate's degree",4,52.6667
"some college",3,68.6667
"some college",3,83.0000
"bachelor's degree",5,78.0000
"some high school",1,90.0000
"high school",2,65.6667
"some high school",1,77.0000
"bachelor's degree",5,62.0000
"high school",2,49.0000
"high school",2,46.3333
"bachelor's degree",5,78.6667
"some college",3,75.3333
"some high school",1,43.0000
"associate's degree",4,81.6667
"associate's degree",4,89.0000
"some high school",1,79.3333
"bachelor's degree",5,79.6667
"some high school",1,76.6667
"associate's degree",4,71.3333
"some high school",1,76.3333
"some high school",1,60.0000
"bachelor's degree",5,71.0000
"high school",2,78.3333
"associate's degree",4,63.0000
"some high school",1,43.3333
"associate's degree",4,71.0000
"high school",2,45.3333
"associate's degree",4,84.0000
"some college",3,80.0000
"some high school",1,54.0000
"associate's degree",4,77.3333
"associate's degree",4,73.3333
"associate's degree",4,77.3333
"some college",3,68.3333
"some college",3,89.0000
"some high school",1,49.0000
"associate's degree",4,63.6667
"high school",2,52.6667
"associate's degree",4,76.3333
"bachelor's degree",5,61.0000
"bachelor's degree",5,65.3333
"associate's degree",4,68.0000
"bachelor's degree",5,66.0000
"high school",2,67.3333
"master's degree",6,83.3333
"associate's degree",4,77.6667
"bachelor's degree",5,67.6667
"associate's degree",4,61.3333
"high school",2,76.6667
"high school",2,80.0000
"some college",3,77.3333
"some high school",1,49.6667
"high school",2,43.3333
"some college",3,88.6667
"some college",3,61.3333
"some college",3,23.3333
"associate's degree",4,78.0000
"some high school",1,49.0000
"high school",2,64.0000
"associate's degree",4,39.6667
"associate's degree",4,57.0000
"associate's degree",4,83.0000
"bachelor's degree",5,90.3333
"some college",3,65.0000
"some high school",1,71.6667
"associate's degree",4,47.6667
"some high school",1,29.6667
"some high school",1,50.0000
"high school",2,57.0000
"high school",2,65.6667
"high school",2,73.0000
"associate's degree",4,68.6667
"some college",3,73.0000
"high school",2,75.6667
"some college",3,60.0000
"bachelor's degree",5,88.6667
"high school",2,71.6667
"associate's degree",4,79.0000
"bachelor's degree",5,62.0000
"some college",3,58.3333
"some college",3,73.6667
"associate's degree",4,53.6667
"some college",3,66.6667
"bachelor's degree",5,67.6667
"associate's degree",4,61.6667
"some college",3,59.0000
"some college",3,60.6667
"some college",3,86.3333
"high school",2,59.6667
"some high school",1,82.3333
"some college",3,56.0000
"some high school",1,31.0000
"some college",3,59.0000
"bachelor's degree",5,55.6667
"high school",2,60.0000
"bachelor's degree",5,62.6667
"some high school",1,55.3333
"some high school",1,80.6667
"some college",3,77.3333
"some college",3,62.6667
"some high school",1,73.3333
"some college",3,91.6667
"bachelor's degree",5,67.3333
"associate's degree",4,43.3333
"some high school",1,84.0000
"master's degree",6,93.3333
"some high school",1,77.0000
"bachelor's degree",5,64.0000
"associate's degree",4,83.0000
"associate's degree",4,94.0000
"master's degree",6,77.0000
"some high school",1,44.0000
"some high school",1,41.3333
"some college",3,72.6667
"bachelor's degree",5,69.0000
"associate's degree",4,67.3333
"high school",2,63.3333
"master's degree",6,72.6667
"some high school",1,66.3333
"some college",3,74.0000
"some college",3,70.0000
"associate's degree",4,55.6667
"some high school",1,72.0000
"high school",2,44.6667
"high school",2,60.0000
"associate's degree",4,89.6667
"some high school",1,64.6667
"some high school",1,57.6667
"some high school",1,60.0000
"some college",3,46.3333
"some college",3,56.3333
"high school",2,95.6667
"high school",2,58.3333
"some high school",1,68.0000
"associate's degree",4,64.3333
"associate's degree",4,79.6667
"high school",2,55.0000
"associate's degree",4,85.3333
"master's degree",6,71.6667
"some college",3,81.6667
"associate's degree",4,65.6667
"some high school",1,65.6667
"bachelor's degree",5,67.3333
"high school",2,75.3333
"bachelor's degree",5,71.0000
"associate's degree",4,71.3333
"some college",3,63.0000
"high school",2,55.6667
"associate's degree",4,89.3333
"high school",2,59.6667
"master's degree",6,57.3333
"some high school",1,74.6667
"some college",3,38.0000
"some college",3,63.6667
"bachelor's degree",5,85.0000
"some high school",1,68.3333
"some high school",1,59.0000
"some high school",1,61.6667
"associate's degree",4,63.0000
"high school",2,67.6667
"high school",2,57.3333
"some high school",1,52.0000
"some high school",1,68.3333
"some college",3,50.3333
"associate's degree",4,69.0000
"associate's degree",4,71.3333
"high school",2,59.0000
"some high school",1,86.3333
"some college",3,75.6667
"high school",2,79.6667
"some high school",1,67.0000
"associate's degree",4,77.3333
"some high school",1,78.0000
"some high school",1,72.6667
"some college",3,65.0000
"high school",2,82.3333
"high school",2,45.0000
"associate's degree",4,75.3333
"some college",3,78.0000
"some college",3,96.3333
"associate's degree",4,72.0000
"some college",3,57.3333
"associate's degree",4,58.6667
"bachelor's degree",5,46.6667
"bachelor's degree",5,85.6667
"associate's degree",4,51.6667
"bachelor's degree",5,100.0000
"high school",2,68.3333
"bachelor's degree",5,55.3333
"some college",3,51.0000
"some college",3,72.3333
"some college",3,86.0000
"bachelor's degree",5,65.0000
"some college",3,87.3333
"associate's degree",4,31.6667
"high school",2,68.0000
"high school",2,83.3333
"some college",3,80.3333
"associate's degree",4,86.0000
"high school",2,68.6667
"associate's degree",4,79.3333
"some high school",1,62.3333
"associate's degree",4,90.3333
"bachelor's degree",5,76.6667
"bachelor's degree",5,68.0000
"associate's degree",4,73.3333
"master's degree",6,63.0000
"associate's degree",4,71.3333
"high school",2,70.6667
"associate's degree",4,55.6667
"some college",3,65.6667
"high school",2,52.3333
"associate's degree",4,51.6667
"high school",2,71.6667
"some college",3,54.6667
"associate's degree",4,69.6667
"some high school",1,58.0000
"associate's degree",4,81.0000
"associate's degree",4,75.3333
"associate's degree",4,66.0000
"some college",3,85.3333
"bachelor's degree",5,86.3333
"high school",2,62.0000
"high school",2,66.0000
"some college",3,51.3333
"some college",3,71.0000
"some high school",1,67.6667
"some college",3,73.0000
"master's degree",6,78.3333
"associate's degree",4,91.0000
"some college",3,59.3333
"associate's degree",4,92.0000
"master's degree",6,51.0000
"some high school",1,81.3333
"high school",2,68.0000
"bachelor's degree",5,56.0000
"master's degree",6,78.0000
"bachelor's degree",5,88.3333
"some college",3,73.3333
"some high school",1,52.3333
"some high school",1,54.3333
"some high school",1,59.0000
"master's degree",6,89.3333
"some high school",1,82.6667
"some college",3,82.3333
"some college",3,71.0000
"some high school",1,74.0000
"high school",2,74.6667
"some college",3,57.3333
"associate's degree",4,87.0000
"bachelor's degree",5,61.3333
"master's degree",6,54.3333
"high school",2,51.3333
"some college",3,62.3333
"some high school",1,59.0000
"high school",2,44.0000
"bachelor's degree",5,39.0000
"associate's degree",4,68.6667
"associate's degree",4,69.3333
"some high school",1,51.3333
"associate's degree",4,60.3333
"associate's degree",4,87.0000
"high school",2,70.0000
"bachelor's degree",5,77.3333
"associate's degree",4,56.3333
"high school",2,59.6667
"bachelor's degree",5,74.0000
"associate's degree",4,91.6667
"high school",2,70.6667
"associate's degree",4,80.3333
"associate's degree",4,79.0000
"associate's degree",4,88.6667
"master's degree",6,64.3333
"some high school",1,80.3333
"some high school",1,96.3333
"high school",2,67.6667
"high school",2,64.3333
"master's degree",6,73.3333
"some high school",1,73.3333
"bachelor's degree",5,88.3333
"associate's degree",4,46.0000
"some college",3,67.6667
"associate's degree",4,46.0000
"some college",3,34.6667
"associate's degree",4,68.6667
"master's degree",6,64.6667
"associate's degree",4,64.3333
"some high school",1,67.0000
"some college",3,76.0000
"some college",3,70.3333
"bachelor's degree",5,92.6667
"some college",3,74.3333
"bachelor's degree",5,48.3333
"associate's degree",4,45.3333
"bachelor's degree",5,97.3333
"master's degree",6,70.0000
"high school",2,52.6667
"bachelor's degree",5,67.6667
"some college",3,72.0000
"bachelor's degree",5,93.0000
"some college",3,57.0000
"high school",2,60.0000
"high school",2,75.3333
"associate's degree",4,49.3333
"some college",3,54.6667
"high school",2,87.0000
"some college",3,54.0000
"master's degree",6,60.6667
"some high school",1,91.3333
"some high school",1,78.6667
"bachelor's degree",5,71.3333
"associate's degree",4,76.0000
"some college",3,74.3333
"associate's degree",4,72.3333
"high school",2,67.0000
"bachelor's degree",5,56.3333
"some college",3,61.0000
"some high school",1,59.6667
"some college",3,56.3333
"some high school",1,61.0000
"bachelor's degree",5,66.6667
"high school",2,74.3333
"bachelor's degree",5,97.0000
"bachelor's degree",5,69.0000
"high school",2,23.0000
"some high school",1,51.6667
"high school",2,73.0000
"some high school",1,76.0000
"master's degree",6,59.0000
"high school",2,29.3333
"some college",3,78.0000
"high school",2,56.0000
"master's degree",6,87.6667
"some high school",1,69.6667
"associate's degree",4,83.6667
"master's degree",6,50.6667
"some college",3,62.3333
"associate's degree",4,62.0000
"some college",3,64.0000
"some college",3,61.0000
"bachelor's degree",5,91.6667
"associate's degree",4,72.0000
"associate's degree",4,89.3333
"high school",2,66.6667
"bachelor's degree",5,40.0000
"bachelor's degree",5,83.0000
"master's degree",6,86.6667
"associate's degree",4,68.6667
"high school",2,50.0000
"bachelor's degree",5,60.3333
"high school",2,53.6667
"some college",3,94.0000
"bachelor's degree",5,60.3333
"some college",3,98.6667
"associate's degree",4,67.3333
"associate's degree",4,51.6667
"some college",3,50.6667
"some high school",1,50.0000
"some college",3,67.0000
"high school",2,68.0000
"bachelor's degree",5,73.6667
"high school",2,82.6667
"some high school",1,82.6667
"high school",2,69.6667
"high school",2,76.0000
"some high school",1,86.6667
"some college",3,78.6667
"associate's degree",4,74.3333
"high school",2,48.0000
"associate's degree",4,84.0000
"some high school",1,77.3333
"high school",2,77.6667
"high school",2,65.0000
"bachelor's degree",5,75.6667
"associate's degree",4,64.6667
"high school",2,64.6667
"high school",2,52.6667
"some college",3,76.3333
"some high school",1,53.3333
"high school",2,74.6667
"some college",3,89.6667
"associate's degree",4,69.6667
"some high school",1,77.0000
"some college",3,65.3333
"associate's degree",4,69.3333
"some high school",1,65.3333
"associate's degree",4,53.6667
"associate's degree",4,87.3333
"some college",3,74.6667
"some high school",1,67.3333
"some college",3,65.0000
"high school",2,67.0000
"associate's degree",4,68.6667
"some high school",1,56.6667
"some college",3,69.0000
"bachelor's degree",5,83.0000
"some college",3,69.3333
"associate's degree",4,76.6667
"high school",2,70.0000
"associate's degree",4,53.0000
"some college",3,74.3333
"associate's degree",4,77.6667
"high school",2,74.6667
"some college",3,60.0000
"some college",3,75.6667
"some high school",1,76.0000
"associate's degree",4,78.0000
"some college",3,61.3333
"high school",2,71.0000
"high school",2,62.6667
"high school",2,57.0000
"some high school",1,37.6667
"some college",3,65.3333
"master's degree",6,97.6667
"some college",3,76.0000
"associate's degree",4,76.0000
"high school",2,51.6667
"some college",3,88.6667
"associate's degree",4,51.6667
"associate's degree",4,75.6667
"bachelor's degree",5,73.6667
"associate's degree",4,75.6667
"some high school",1,56.0000
"some college",3,84.6667
"associate's degree",4,82.3333
"bachelor's degree",5,67.0000
"associate's degree",4,71.3333
"high school",2,63.6667
"bachelor's degree",5,80.6667
"some high school",1,65.3333
"bachelor's degree",5,86.0000
"some college",3,64.6667
"some high school",1,62.0000
"bachelor's degree",5,66.3333
"high school",2,38.6667
"some college",3,59.0000
"high school",2,85.0000
"associate's degree",4,53.6667
"some college",3,89.0000
"some high school",1,83.3333
"some college",3,99.0000
"master's degree",6,82.0000
"some high school",1,68.0000
"associate's degree",4,85.6667
"associate's degree",4,74.3333
"associate's degree",4,97.0000
"high school",2,75.3333
"associate's degree",4,81.3333
"some college",3,68.0000
"some high school",1,57.6667
"some high school",1,84.0000
"high school",2,46.6667
"some college",3,43.6667
"some college",3,75.3333
"associate's degree",4,72.3333
"some high school",1,58.6667
"high school",2,83.0000
"some college",3,43.0000
"associate's degree",4,75.0000
"some high school",1,48.0000
"some college",3,90.0000
"some high school",1,48.6667
"some college",3,56.0000
"master's degree",6,61.0000
"associate's degree",4,85.0000
"some college",3,64.0000
"associate's degree",4,75.0000
"high school",2,58.6667
"bachelor's degree",5,75.0000
"associate's degree",4,50.0000
"high school",2,82.3333
"associate's degree",4,68.0000
"some college",3,52.3333
"associate's degree",4,75.0000
"high school",2,71.6667
"some college",3,67.0000
"bachelor's degree",5,56.3333
"some college",3,85.6667
"some high school",1,69.3333
"some college",3,68.3333
"master's degree",6,77.0000
"some high school",1,84.0000
"associate's degree",4,55.3333
"associate's degree",4,90.3333
"some college",3,55.0000
"bachelor's degree",5,70.0000
"some college",3,58.6667
"some college",3,74.3333
"high school",2,63.0000
"some high school",1,53.3333
"some high school",1,81.6667
"high school",2,62.3333
"some college",3,60.6667
"high school",2,72.6667
"high school",2,70.0000
"high school",2,66.0000
"some high school",1,71.3333
"some college",3,58.3333
"high school",2,49.6667
"bachelor's degree",5,74.0000
"some high school",1,63.6667
"bachelor's degree",5,73.0000
"some college",3,63.6667
"some high school",1,54.0000
"high school",2,69.3333
"some college",3,40.6667
"some college",3,77.6667
"associate's degree",4,87.0000
"associate's degree",4,53.0000
"master's degree",6,83.6667
"high school",2,81.0000
"associate's degree",4,57.6667
"bachelor's degree",5,83.6667
"some high school",1,42.3333
"some high school",1,76.0000
"some college",3,29.6667
"associate's degree",4,64.6667
"master's degree",6,59.3333
"high school",2,56.6667
"some college",3,65.3333
"high school",2,69.6667
"some high school",1,83.3333
"high school",2,48.3333
"associate's degree",4,66.0000
"high school",2,70.0000
"associate's degree",4,78.3333
"some college",3,61.0000
"associate's degree",4,54.6667
"some high school",1,69.3333
"some high school",1,76.3333
"associate's degree",4,92.0000
"some college",3,84.6667
"some college",3,75.6667
"some college",3,76.6667
"some college",3,71.0000
"high school",2,42.0000
"high school",2,78.0000
"bachelor's degree",5,54.6667
"some high school",1,39.3333
"high school",2,47.0000
"master's degree",6,61.6667
"some high school",1,82.3333
"high school",2,78.3333
"some high school",1,89.0000
"bachelor's degree",5,56.0000
"bachelor's degree",5,69.0000
"high school",2,66.6667
"some high school",1,85.3333
"some high school",1,89.0000
"bachelor's degree",5,87.0000
"some college",3,50.6667
"high school",2,80.0000
"some high school",1,52.6667
"high school",2,62.3333
"associate's degree",4,64.6667
"some high school",1,70.0000
"some high school",1,78.6667
"some high school",1,58.3333
"some college",3,59.3333
"bachelor's degree",5,83.0000
"bachelor's degree",5,60.6667
"high school",2,82.6667
"some college",3,51.0000
"high school",2,66.0000
"high school",2,64.6667
"high school",2,78.6667
"associate's degree",4,56.0000
"associate's degree",4,72.0000
"high school",2,45.6667
"some high school",1,57.6667
"high school",2,34.3333
"some college",3,75.6667
"some high school",1,56.3333
"master's degree",6,86.3333
"master's degree",6,87.0000
"high school",2,56.0000
"high school",2,66.3333
"associate's degree",4,74.6667
"master's degree",6,68.3333
"high school",2,64.0000
"some college",3,88.3333
"some high school",1,70.0000
"some high school",1,60.3333
"bachelor's degree",5,96.6667
"some college",3,69.3333
"bachelor's degree",5,75.0000
"high school",2,49.0000
"associate's degree",4,77.3333
"associate's degree",4,56.0000
"master's degree",6,84.6667
"bachelor's degree",5,39.6667
"some college",3,74.0000
"associate's degree",4,93.6667
"some college",3,84.0000
"high school",2,54.6667
"associate's degree",4,48.0000
"associate's degree",4,74.6667
"associate's degree",4,50.3333
"high school",2,54.6667
"some college",3,72.6667
"associate's degree",4,81.3333
"associate's degree",4,87.3333
"bachelor's degree",5,55.3333
"some college",3,70.0000
"some college",3,82.3333
"some high school",1,57.3333
"some high school",1,70.3333
"associate's degree",4,71.3333
"bachelor's degree",5,64.3333
"bachelor's degree",5,70.3333
"high school",2,69.3333
"bachelor's degree",5,48.3333
"associate's degree",4,52.0000
"associate's degree",4,72.6667
"associate's degree",4,96.0000
"high school",2,61.6667
"some college",3,69.3333
"high school",2,47.6667
"some college",3,87.3333
"associate's degree",4,87.3333
"master's degree",6,63.3333
"some high school",1,79.0000
"associate's degree",4,63.3333
"some high school",1,34.6667
"high school",2,30.6667
"some high school",1,73.3333
"associate's degree",4,61.3333
"some high school",1,75.0000
"master's degree",6,86.0000
"master's degree",6,75.0000
"high school",2,41.0000
"bachelor's degree",5,97.6667
"some high school",1,78.3333
"some college",3,80.6667
"high school",2,52.0000
"some college",3,84.6667
"bachelor's degree",5,71.3333
"bachelor's degree",5,68.0000
"bachelor's degree",5,46.6667
"some college",3,78.3333
"bachelor's degree",5,59.6667
"bachelor's degree",5,58.3333
"associate's degree",4,54.0000
"some college",3,68.0000
"bachelor's degree",5,100.0000
"high school",2,52.3333
"associate's degree",4,71.3333
"some college",3,92.6667
"high school",2,68.6667
"high school",2,44.6667
"high school",2,68.0000
"associate's degree",4,61.3333
"high school",2,71.0000
"some high school",1,66.0000
"associate's degree",4,57.3333
"high school",2,65.6667
"associate's degree",4,44.3333
"some high school",1,51.6667
"some college",3,70.3333
"some college",3,60.3333
"associate's degree",4,68.3333
"bachelor's degree",5,73.0000
"associate's degree",4,91.6667
"some college",3,63.6667
"associate's degree",4,59.0000
"high school",2,57.3333
"some college",3,83.6667
"some high school",1,71.3333
"master's degree",6,70.0000
"master's degree",6,88.3333
"high school",2,70.3333
"some high school",1,61.3333
"high school",2,62.3333
"associate's degree",4,57.6667
"high school",2,81.3333
"some college",3,55.6667
"some high school",1,50.3333
"high school",2,68.3333
"high school",2,79.3333
"some college",3,78.3333
"some high school",1,73.3333
"high school",2,54.6667
"some college",3,66.6667
"associate's degree",4,63.6667
"some college",3,84.0000
"master's degree",6,97.3333
"high school",2,55.6667
"high school",2,75.6667
"some college",3,59.3333
"some high school",1,51.6667
"associate's degree",4,100.0000
"some high school",1,72.0000
"some college",3,62.3333
"some college",3,68.0000
"some high school",1,66.0000
"some college",3,62.0000
"associate's degree",4,70.3333
"bachelor's degree",5,79.6667
"bachelor's degree",5,96.3333
"some high school",1,73.0000
"high school",2,54.3333
"some college",3,58.3333
"some college",3,61.3333
"some college",3,74.3333
"some college",3,60.6667
"associate's degree",4,61.6667
"high school",2,48.0000
"associate's degree",4,93.3333
"high school",2,18.3333
"some high school",1,79.0000
"some high school",1,83.3333
"some college",3,85.3333
"some high school",1,77.0000
"high school",2,54.0000
"associate's degree",4,50.0000
"some high school",1,77.3333
"some high school",1,44.6667
"some college",3,78.6667
"high school",2,80.6667
"some high school",1,75.0000
"associate's degree",4,69.0000
"bachelor's degree",5,69.3333
"high school",2,62.6667
"master's degree",6,94.0000
"high school",2,57.3333
"high school",2,65.0000
"some college",3,74.3333
"some college",3,83.0000
