some high school,high school,some college,associate's degree,bachelor's degree,master's degree
73.3333,68.3333,70.3333,71.3333,,
73.3333,68.3333,70.3333,71.6667,,
74.0000,68.3333,70.6667,72.0000,,
74.0000,68.6667,71.0000,72.0000,,
74.3333,68.6667,71.0000,72.0000,,
74.6667,69.0000,71.0000,72.0000,,
75.0000,69.3333,71.0000,72.3333,,
75.0000,69.3333,71.6667,72.3333,,
76.0000,69.6667,72.0000,72.6667,,
76.0000,69.6667,72.0000,73.3333,,
76.0000,70.0000,72.3333,73.3333,,
76.3333,70.0000,72.3333,73.3333,,
76.3333,70.0000,72.3333,74.3333,,
76.6667,70.0000,72.6667,74.3333,,
77.0000,70.3333,72.6667,74.6667,,
77.0000,70.6667,73.0000,74.6667,,
77.0000,70.6667,73.0000,75.0000,,
77.0000,71.0000,73.3333,75.0000,,
77.3333,71.0000,73.3333,75.0000,,
77.3333,71.0000,73.6667,75.0000,,
78.0000,71.0000,74.0000,75.3333,,
78.3333,71.6667,74.0000,75.3333,,
78.6667,71.6667,74.3333,75.6667,,
78.6667,71.6667,74.3333,75.6667,,
79.0000,72.3333,74.3333,76.0000,,
79.0000,72.6667,74.3333,76.0000,,
79.3333,72.6667,74.3333,76.3333,,
79.3333,72.6667,74.3333,76.6667,,
80.3333,73.0000,74.3333,77.3333,,
80.3333,73.0000,74.3333,77.3333,,
80.3333,73.0000,74.6667,77.3333,,
80.6667,73.0000,75.3333,77.3333,,
80.6667,73.6667,75.3333,77.3333,,
80.6667,73.6667,75.6667,77.3333,,
81.3333,74.3333,75.6667,77.3333,,
81.6667,74.6667,75.6667,77.3333,,
82.3333,74.6667,75.6667,77.6667,,
82.3333,74.6667,76.0000,77.6667,,
82.3333,75.3333,76.0000,78.0000,,
82.6667,75.3333,76.3333,78.0000,,
82.6667,75.3333,76.3333,78.0000,,
83.3333,75.6667,76.6667,78.0000,,
83.3333,75.6667,77.0000,78.3333,,
83.3333,76.0000,77.0000,79.0000,,
84.0000,76.3333,77.3333,79.0000,,
84.0000,76.6667,77.3333,79.0000,,
84.0000,77.6667,77.6667,79.3333,,
85.3333,78.0000,78.0000,79.3333,,
85.6667,78.3333,78.0000,79.6667,,
86.3333,78.3333,78.3333,79.6667,,
86.6667,78.3333,78.3333,80.3333,,
86.6667,78.6667,78.3333,80.3333,,
89.0000,79.0000,78.6667,80.3333,,
89.0000,79.3333,78.6667,81.0000,,
90.0000,79.6667,78.6667,81.3333,,
91.3333,80.0000,78.6667,81.3333,,
96.3333,80.0000,79.0000,81.3333,,
99.0000,80.3333,79.3333,81.6667,,
,80.6667,79.6667,81.6667,,
,81.0000,80.0000,82.3333,,
,81.3333,80.0000,83.0000,,
,82.3333,80.3333,83.0000,,
,82.3333,80.6667,83.6667,,
,82.6667,81.6667,84.0000,,
,82.6667,82.0000,84.0000,,
,82.6667,82.3333,84.3333,,
,83.0000,82.3333,84.3333,,
,83.3333,82.3333,85.0000,,
,85.0000,82.3333,85.3333,,
,86.3333,82.3333,85.6667,,
,87.0000,82.6667,85.6667,,
,87.6667,83.0000,86.0000,,
,89.3333,83.0000,87.0000,,
,94.0000,83.6667,87.0000,,
,95.6667,84.0000,87.0000,,
,,84.0000,87.3333,,
,,84.6667,87.3333,,
,,84.6667,87.3333,,
,,84.6667,88.0000,,
,,85.3333,88.3333,,
,,85.3333,88.6667,,
,,85.6667,89.0000,,
,,85.6667,89.3333,,
,,86.0000,89.3333,,
,,86.3333,89.6667,,
,,87.3333,90.3333,,
,,87.3333,90.3333,,
,,88.3333,90.6667,,
,,88.6667,91.0000,,
,,88.6667,91.6667,,
,,88.6667,91.6667,,
,,89.0000,91.6667,,
,,89.0000,92.0000,,
,,89.6667,92.0000,,
,,90.0000,93.3333,,
,,91.3333,93.6667,,
,,91.3333,94.0000,,
,,91.6667,96.0000,,
,,91.6667,97.0000,,
,,92.3333,97.6667,,
,,92.6667,100.0000,,
,,94.0000,,,
,,96.3333,,,
,,98.6667,,,
,,99.0000,,,
