i,fi
452,20
453,22
454,25
455,21
456,20
457,24
458,19
459,13
460,23
461,23
462,16
463,18
464,22
465,24
466,18
467,17
468,24
469,23
470,16
471,22
472,18
473,22
474,21
475,22
476,16
477,19
478,21
479,26
480,19
481,28
482,18
483,17
484,20
485,17
486,21
487,22
488,24
489,16
490,22
491,20
492,20
493,20
494,23
495,31
496,20
497,19
498,18
499,19
500,14
501,15
502,16
503,19
504,27
505,25
506,13
507,13
508,23
509,20
510,17
511,22
512,24
513,21
514,31
515,18
516,9
517,22
518,21
519,26
520,20
521,20
522,25
523,15
524,21
525,18
526,22
527,16
528,21
529,18
530,18
531,26
532,25
533,26
534,28
535,23
536,32
537,20
538,24
539,19
540,25
541,22
542,23
543,14
544,18
545,18
546,17
547,18
548,20
549,22
550,24
551,17
552,14
553,19
554,22
555,15
556,10
557,22
558,29
559,16
560,18
561,13
562,23
563,23
564,13
565,22
566,24
567,19
568,18
569,18
570,14
571,20
572,15
573,17
574,20
575,25
576,17
577,24
578,17
579,18
580,16
581,20
582,21
583,26
584,18
585,14
586,23
587,15
588,17
589,19
590,18
591,17
592,18
593,27
594,19
595,18
596,18
597,22
598,15
599,24
600,16
601,15
602,21
603,28
604,33
605,14
606,13
607,24
608,19
609,31
610,14
611,21
612,22
613,15
614,19
615,23
616,22
617,19
618,16
619,15
620,22
621,25
622,9
623,23
624,20
625,14
626,22
627,23
628,13
629,17
630,13
631,14
632,24
633,19
634,22
635,18
636,22
637,16
638,24
639,17
640,17
641,29
642,18
643,23
644,16
645,19
646,27
647,22
648,23
649,22
650,15
651,28
652,28
653,28
654,22
655,20
656,18
657,21
658,22
659,18
660,21
661,19
662,21
663,15
664,20
665,20
666,12
667,22
668,32
669,19
670,16
671,14
672,22
673,21
674,27
675,21
676,17
677,16
678,21
679,18
680,21
681,16
682,27
683,14
684,24
685,23
686,28
687,34
688,19
689,16
690,19
691,18
692,22
693,19
694,24
695,23
696,13
697,27
698,18
699,19
700,18
701,13
702,13
703,17
704,22
705,22
706,25
707,18
708,18
709,18
710,20
711,13
712,18
713,13
714,16
715,19
716,17
717,16
718,20
719,16
720,17
721,17
722,23
723,14
724,30
725,16
726,17
727,21
728,17
729,22
730,11
731,24
732,20
733,21
734,22
735,20
736,21
737,23
738,15
739,16
740,16
741,23
742,17
743,14
744,27
745,21
746,20
747,16
748,21
749,20
750,17
751,13
752,17
753,17
754,18
755,17
756,29
757,22
758,20
759,26
760,12
761,24
762,31
763,21
764,21
765,14
766,26
767,15
768,17
769,19
770,27
771,18
772,16
773,18
774,28
775,31
776,24
777,17
778,19
779,13
780,15
781,23
782,22
783,13
784,32
785,21
786,21
787,16
788,17
789,17
790,21
791,23
792,16
793,24
794,32
795,25
796,21
797,21
798,16
799,14
800,20
801,21
802,24
803,21
804,21
805,28
806,19
807,32
808,12
809,25
810,31
811,28
812,18
813,31
814,22
815,21
816,17
817,18
818,17
819,16
820,25
821,20
822,18
823,21
824,17
825,16
826,19
827,23
828,25
829,13
830,22
831,14
832,23
833,19
834,11
835,18
836,17
837,18
838,23
839,20
840,26
841,17
842,22
843,11
844,19
845,20
846,25
847,15
848,24
849,21
850,18
851,19
852,20
853,15
854,16
855,23
856,16
857,12
858,31
859,18
860,27
861,26
862,17
863,21
864,23
865,23
866,20
867,22
868,22
869,22
870,17
871,18
872,16
873,14
874,25
875,21
876,26
877,21
878,21
879,24
880,17
881,21
882,16
883,22
884,21
885,20
886,15
887,21
888,20
889,16
890,26
891,18
892,18
893,34
894,19
895,19
896,16
897,24
898,22
899,25
900,14
901,19
902,26
903,22
904,20
905,18
906,16
907,18
908,20
909,22
910,22
911,17
912,20
913,11
914,18
915,20
916,16
917,17
918,16
919,30
920,22
921,21
922,25
923,15
924,18
925,15
926,19
927,22
928,22
929,18
930,22
931,9
932,17
933,22
934,20
935,17
936,18
937,14
938,23
939,19
940,20
941,28
942,16
943,18
944,18
945,18
946,27
947,19
948,22
949,32
950,24
951,14
952,19
953,21
954,14
955,19
956,21
957,28
958,26
959,19
960,20
961,18
962,16
963,15
964,21
965,13
966,23
967,21
968,18
969,20
970,19
971,17
972,19
973,20
974,17
975,18
976,25
977,15
978,23
979,23
980,19
981,21
982,23
983,21
984,19
985,16
986,26
987,16
988,28
989,19
990,18
991,20
992,21
993,21
994,18
995,17
996,17
997,23
998,18
999,21
